Gene name	Gene stable ID	Transcript stable ID
si:ch73-281i18.6	ENSDARG00000101490	ENSDART00000163138
si:ch73-281i18.6	ENSDARG00000101490	ENSDART00000129570
si:ch73-281i18.6	ENSDARG00000101490	ENSDART00000170007
slc7a10a	ENSDARG00000008100	ENSDART00000075782
mrpl51	ENSDARG00000041340	ENSDART00000060594
mrpl51	ENSDARG00000041340	ENSDART00000097540
	ENSDARG00000087757	ENSDART00000154409
	ENSDARG00000110990	ENSDART00000184251
	ENSDARG00000092491	ENSDART00000140999
frs2a	ENSDARG00000045873	ENSDART00000067423
usp43b	ENSDARG00000088072	ENSDART00000122735
	ENSDARG00000096208	ENSDART00000150875
asmt2	ENSDARG00000070874	ENSDART00000086885
	ENSDARG00000105588	ENSDART00000173826
ipp	ENSDARG00000075339	ENSDART00000112659
ipp	ENSDARG00000075339	ENSDART00000168247
usp3	ENSDARG00000045641	ENSDART00000156364
usp3	ENSDARG00000045641	ENSDART00000155698
hmgcs1	ENSDARG00000103025	ENSDART00000163680
hmgcs1	ENSDARG00000103025	ENSDART00000167613
hmgcs1	ENSDARG00000103025	ENSDART00000162628
hmgcs1	ENSDARG00000103025	ENSDART00000190025
hmgcs1	ENSDARG00000103025	ENSDART00000159216
ugt5c3	ENSDARG00000061439	ENSDART00000098806
	ENSDARG00000102553	ENSDART00000161350
	ENSDARG00000104269	ENSDART00000160071
sgms2a	ENSDARG00000052520	ENSDART00000143398
sgms2a	ENSDARG00000052520	ENSDART00000133392
sgms2a	ENSDARG00000052520	ENSDART00000141476
sgms2a	ENSDARG00000052520	ENSDART00000138301
hapln4	ENSDARG00000018542	ENSDART00000136016
olig3	ENSDARG00000074253	ENSDART00000111052
abhd15a	ENSDARG00000078768	ENSDART00000109990
abhd15a	ENSDARG00000078768	ENSDART00000186706
zgc:171695	ENSDARG00000100858	ENSDART00000169589
TAFA1	ENSDARG00000062357	ENSDART00000136672
TAFA1	ENSDARG00000062357	ENSDART00000112735
ankef1a	ENSDARG00000019135	ENSDART00000153006
ankef1a	ENSDARG00000019135	ENSDART00000191797
crfb4	ENSDARG00000068711	ENSDART00000099479
vmo1a	ENSDARG00000043002	ENSDART00000063138
lsm11	ENSDARG00000090854	ENSDART00000140321
lsm11	ENSDARG00000090854	ENSDART00000129676
cdk5	ENSDARG00000056683	ENSDART00000079210
	ENSDARG00000098676	ENSDART00000171376
helz2c	ENSDARG00000012446	ENSDART00000163411
helz2c	ENSDARG00000012446	ENSDART00000004476
helz2c	ENSDARG00000012446	ENSDART00000144897
lonrf1	ENSDARG00000078567	ENSDART00000172119
lonrf1	ENSDARG00000078567	ENSDART00000144516
prf1.2	ENSDARG00000021444	ENSDART00000133277
hoxb3a	ENSDARG00000029263	ENSDART00000131410
hoxb3a	ENSDARG00000029263	ENSDART00000078466
hoxb3a	ENSDARG00000029263	ENSDART00000143981
hoxb3a	ENSDARG00000029263	ENSDART00000174580
hoxb3a	ENSDARG00000029263	ENSDART00000187409
hoxb3a	ENSDARG00000029263	ENSDART00000182247
hoxb3a	ENSDARG00000029263	ENSDART00000153512
hoxb3a	ENSDARG00000029263	ENSDART00000184299
slc16a5a	ENSDARG00000030472	ENSDART00000153168
slc16a5a	ENSDARG00000030472	ENSDART00000045186
gpr176	ENSDARG00000042515	ENSDART00000147917
fhl2a	ENSDARG00000042018	ENSDART00000061577
fhl2a	ENSDARG00000042018	ENSDART00000179893
fhl2a	ENSDARG00000042018	ENSDART00000122279
fhl2a	ENSDARG00000042018	ENSDART00000193421
golph3l	ENSDARG00000036943	ENSDART00000139924
golph3l	ENSDARG00000036943	ENSDART00000183848
golph3l	ENSDARG00000036943	ENSDART00000138837
iqch	ENSDARG00000015476	ENSDART00000079691
iqch	ENSDARG00000015476	ENSDART00000147470
iqch	ENSDARG00000015476	ENSDART00000135049
	ENSDARG00000089954	ENSDART00000154540
	ENSDARG00000089954	ENSDART00000180384
	ENSDARG00000089954	ENSDART00000175024
	ENSDARG00000089954	ENSDART00000184486
shpk	ENSDARG00000002355	ENSDART00000156372
shpk	ENSDARG00000002355	ENSDART00000020044
si:dkey-238c7.16	ENSDARG00000069537	ENSDART00000101292
gfi1ab	ENSDARG00000044457	ENSDART00000065139
pdyn	ENSDARG00000087798	ENSDART00000144257
pdyn	ENSDARG00000087798	ENSDART00000141484
si:ch73-109d9.3	ENSDARG00000101106	ENSDART00000160276
b3gnt3.3	ENSDARG00000093521	ENSDART00000139285
agtr1b	ENSDARG00000045443	ENSDART00000149911
agtr1b	ENSDARG00000045443	ENSDART00000066834
si:ch73-106l15.3	ENSDARG00000058958	ENSDART00000188808
si:ch73-106l15.3	ENSDARG00000058958	ENSDART00000187511
si:ch73-106l15.3	ENSDARG00000058958	ENSDART00000081894
tfdp1a	ENSDARG00000019293	ENSDART00000077800
tfdp1a	ENSDARG00000019293	ENSDART00000140851
tfdp1a	ENSDARG00000019293	ENSDART00000121828
tfdp1a	ENSDARG00000019293	ENSDART00000142347
	ENSDARG00000094455	ENSDART00000136219
	ENSDARG00000097849	ENSDART00000153505
si:dkeyp-100h4.1	ENSDARG00000078167	ENSDART00000181891
si:dkeyp-100h4.1	ENSDARG00000078167	ENSDART00000102949
si:dkeyp-100h4.1	ENSDARG00000078167	ENSDART00000183998
si:dkeyp-100h4.1	ENSDARG00000078167	ENSDART00000180528
si:dkeyp-100h4.1	ENSDARG00000078167	ENSDART00000135262
	ENSDARG00000115890	ENSDART00000170471
ss18l2	ENSDARG00000101085	ENSDART00000167251
ss18l2	ENSDARG00000101085	ENSDART00000167841
use1	ENSDARG00000007250	ENSDART00000006927
use1	ENSDARG00000007250	ENSDART00000126664
	ENSDARG00000113690	ENSDART00000160463
	ENSDARG00000113690	ENSDART00000161238
	ENSDARG00000113690	ENSDART00000172136
	ENSDARG00000113690	ENSDART00000190736
fes	ENSDARG00000011449	ENSDART00000149067
fes	ENSDARG00000011449	ENSDART00000180985
fes	ENSDARG00000011449	ENSDART00000149591
fes	ENSDARG00000011449	ENSDART00000149938
zgc:123103	ENSDARG00000099200	ENSDART00000162837
zgc:123103	ENSDARG00000099200	ENSDART00000170821
	ENSDARG00000040250	ENSDART00000131463
idh3b	ENSDARG00000044753	ENSDART00000184111
idh3b	ENSDARG00000044753	ENSDART00000149371
irf4a	ENSDARG00000006560	ENSDART00000019733
	ENSDARG00000099086	ENSDART00000172754
	ENSDARG00000099086	ENSDART00000163876
	ENSDARG00000099086	ENSDART00000173304
gpr183b	ENSDARG00000074302	ENSDART00000112778
cdh18a	ENSDARG00000061371	ENSDART00000025562
cdh18a	ENSDARG00000061371	ENSDART00000184362
cdh18a	ENSDARG00000061371	ENSDART00000168957
cdh18a	ENSDARG00000061371	ENSDART00000099157
mtg2	ENSDARG00000063574	ENSDART00000128788
pkig	ENSDARG00000086471	ENSDART00000144769
pkig	ENSDARG00000086471	ENSDART00000138731
pkig	ENSDARG00000086471	ENSDART00000124963
mief2	ENSDARG00000002377	ENSDART00000141283
mief2	ENSDARG00000002377	ENSDART00000103626
mief2	ENSDARG00000002377	ENSDART00000121439
boka	ENSDARG00000052129	ENSDART00000149429
boka	ENSDARG00000052129	ENSDART00000168277
si:ch211-129o18.4	ENSDARG00000098029	ENSDART00000156512
	ENSDARG00000097268	ENSDART00000154820
SRCIN1	ENSDARG00000059773	ENSDART00000083442
SRCIN1	ENSDARG00000059773	ENSDART00000148107
SRCIN1	ENSDARG00000059773	ENSDART00000174685
si:rp71-17i16.6	ENSDARG00000095453	ENSDART00000140935
	ENSDARG00000097673	ENSDART00000156683
tmeff1b	ENSDARG00000056740	ENSDART00000079283
tap2t	ENSDARG00000033446	ENSDART00000039510
tap2t	ENSDARG00000033446	ENSDART00000153401
	ENSDARG00000099899	ENSDART00000159602
alkbh6	ENSDARG00000077253	ENSDART00000147667
alkbh6	ENSDARG00000077253	ENSDART00000111414
	ENSDARG00000096836	ENSDART00000154459
	ENSDARG00000105063	ENSDART00000167022
	ENSDARG00000105063	ENSDART00000182248
	ENSDARG00000105063	ENSDART00000169144
	ENSDARG00000105063	ENSDART00000192977
	ENSDARG00000105063	ENSDART00000184208
TNNT2	ENSDARG00000100694	ENSDART00000164445
setbp1	ENSDARG00000093799	ENSDART00000166902
setbp1	ENSDARG00000093799	ENSDART00000143276
	ENSDARG00000092995	ENSDART00000146584
golph3a	ENSDARG00000052851	ENSDART00000051070
golph3a	ENSDARG00000052851	ENSDART00000074781
dusp23a	ENSDARG00000009844	ENSDART00000004842
henmt1	ENSDARG00000018871	ENSDART00000152853
henmt1	ENSDARG00000018871	ENSDART00000139202
henmt1	ENSDARG00000018871	ENSDART00000015000
zgc:109986	ENSDARG00000102608	ENSDART00000162892
zgc:109986	ENSDARG00000102608	ENSDART00000166081
zgc:109986	ENSDARG00000102608	ENSDART00000161574
prkag1	ENSDARG00000003818	ENSDART00000022179
haus5	ENSDARG00000019156	ENSDART00000025356
pip4p1a	ENSDARG00000038615	ENSDART00000146192
	ENSDARG00000092774	ENSDART00000147430
	ENSDARG00000092774	ENSDART00000165180
	ENSDARG00000092082	ENSDART00000145961
	ENSDARG00000092082	ENSDART00000131801
ecscr	ENSDARG00000087457	ENSDART00000128561
med6	ENSDARG00000034734	ENSDART00000044115
med6	ENSDARG00000034734	ENSDART00000133072
si:ch211-247j9.1	ENSDARG00000079283	ENSDART00000110137
si:ch211-247j9.1	ENSDARG00000079283	ENSDART00000161723
si:ch211-247j9.1	ENSDARG00000079283	ENSDART00000154105
ak9	ENSDARG00000021913	ENSDART00000135845
ak9	ENSDARG00000021913	ENSDART00000038535
gab2	ENSDARG00000105120	ENSDART00000169912
	ENSDARG00000098157	ENSDART00000172094
C18H19orf12	ENSDARG00000102929	ENSDART00000171291
C18H19orf12	ENSDARG00000102929	ENSDART00000157602
C18H19orf12	ENSDARG00000102929	ENSDART00000166983
	ENSDARG00000073688	ENSDART00000180481
	ENSDARG00000073688	ENSDART00000113332
	ENSDARG00000073688	ENSDART00000173541
	ENSDARG00000073688	ENSDART00000173660
	ENSDARG00000073688	ENSDART00000173580
	ENSDARG00000073688	ENSDART00000173770
	ENSDARG00000073688	ENSDART00000184585
	ENSDARG00000073688	ENSDART00000188749
	ENSDARG00000073688	ENSDART00000186956
	ENSDARG00000103180	ENSDART00000168397
	ENSDARG00000090814	ENSDART00000141231
ube2l3b	ENSDARG00000027141	ENSDART00000099602
ube2l3b	ENSDARG00000027141	ENSDART00000004539
ube2l3b	ENSDARG00000027141	ENSDART00000146136
	ENSDARG00000102434	ENSDART00000161638
	ENSDARG00000099967	ENSDART00000159446
	ENSDARG00000099967	ENSDART00000180637
	ENSDARG00000099967	ENSDART00000172719
	ENSDARG00000099967	ENSDART00000167055
	ENSDARG00000099967	ENSDART00000169902
	ENSDARG00000095872	ENSDART00000148874
acvr1bb	ENSDARG00000052142	ENSDART00000073936
acvr1bb	ENSDARG00000052142	ENSDART00000156716
acvr1bb	ENSDARG00000052142	ENSDART00000155659
	ENSDARG00000093111	ENSDART00000144054
	ENSDARG00000093111	ENSDART00000147482
	ENSDARG00000093111	ENSDART00000132541
rbm44	ENSDARG00000069758	ENSDART00000101765
rbm44	ENSDARG00000069758	ENSDART00000144480
rbm44	ENSDARG00000069758	ENSDART00000136249
rbm44	ENSDARG00000069758	ENSDART00000139270
gpr101	ENSDARG00000039218	ENSDART00000173222
chchd10	ENSDARG00000010717	ENSDART00000146909
chchd10	ENSDARG00000010717	ENSDART00000024858
yipf3	ENSDARG00000020449	ENSDART00000012759
klf17	ENSDARG00000038792	ENSDART00000056655
	ENSDARG00000095204	ENSDART00000135478
	ENSDARG00000095204	ENSDART00000137446
	ENSDARG00000095204	ENSDART00000140533
	ENSDARG00000095204	ENSDART00000148186
sinup	ENSDARG00000017163	ENSDART00000003621
sinup	ENSDARG00000017163	ENSDART00000132356
GFRA2	ENSDARG00000044015	ENSDART00000148013
GFRA2	ENSDARG00000044015	ENSDART00000080430
acp5b	ENSDARG00000101456	ENSDART00000165399
arap3	ENSDARG00000076801	ENSDART00000173375
arap3	ENSDARG00000076801	ENSDART00000173056
chchd6a	ENSDARG00000003206	ENSDART00000138142
chchd6a	ENSDARG00000003206	ENSDART00000176139
chchd6a	ENSDARG00000003206	ENSDART00000123925
chchd6a	ENSDARG00000003206	ENSDART00000143933
chchd6a	ENSDARG00000003206	ENSDART00000143339
chchd6a	ENSDARG00000003206	ENSDART00000140977
	ENSDARG00000105543	ENSDART00000173993
arl8a	ENSDARG00000078686	ENSDART00000149320
brf1a	ENSDARG00000017835	ENSDART00000033848
brf1a	ENSDARG00000017835	ENSDART00000158709
brf1a	ENSDARG00000017835	ENSDART00000139650
	ENSDARG00000044318	ENSDART00000065057
DGKZ	ENSDARG00000076025	ENSDART00000155016
rtraf	ENSDARG00000009253	ENSDART00000154229
rtraf	ENSDARG00000009253	ENSDART00000005355
rtraf	ENSDARG00000009253	ENSDART00000156520
rtraf	ENSDARG00000009253	ENSDART00000156262
acmsd	ENSDARG00000062549	ENSDART00000143657
acmsd	ENSDARG00000062549	ENSDART00000169911
cdkn2a/b	ENSDARG00000037262	ENSDART00000054209
cdkn2a/b	ENSDARG00000037262	ENSDART00000193973
adgre10	ENSDARG00000075855	ENSDART00000148075
atoh8	ENSDARG00000037555	ENSDART00000054689
ubap1lb	ENSDARG00000038976	ENSDART00000056893
ubap1lb	ENSDARG00000038976	ENSDART00000172811
QRFPR	ENSDARG00000039349	ENSDART00000133049
QRFPR	ENSDARG00000039349	ENSDART00000041026
mhc1zba	ENSDARG00000036588	ENSDART00000053153
pcdh15a	ENSDARG00000098257	ENSDART00000188322
pcdh15a	ENSDARG00000098257	ENSDART00000163331
pcdh15a	ENSDARG00000098257	ENSDART00000164732
hnrnpa3	ENSDARG00000059351	ENSDART00000144822
hnrnpa3	ENSDARG00000059351	ENSDART00000135273
hnrnpa3	ENSDARG00000059351	ENSDART00000137210
hnrnpa3	ENSDARG00000059351	ENSDART00000102934
	ENSDARG00000105553	ENSDART00000173484
itga8	ENSDARG00000078717	ENSDART00000059038
itga8	ENSDARG00000078717	ENSDART00000141061
cdk5rap2	ENSDARG00000024219	ENSDART00000031425
slc15a4	ENSDARG00000102612	ENSDART00000160503
	ENSDARG00000075818	ENSDART00000147395
	ENSDARG00000075818	ENSDART00000135238
	ENSDARG00000075818	ENSDART00000189792
	ENSDARG00000075818	ENSDART00000140126
	ENSDARG00000075818	ENSDART00000192764
cacng7a	ENSDARG00000063006	ENSDART00000091695
